id,art_style,painting,language,emotion,utterance
16298,Expressionism,ossip-zadkine_the-return-of-the-prodigal-son,english,excitement,"['This is a different type of sculpture, the subjects poses give it a sense of motion and make it exciting']"
16299,Post_Impressionism,gustave-loiseau_shadows-on-the-sea,english,fear,['The distance from the top of the rock to the water looks scary. The trees are bright green and pretty.']
16300,Expressionism,kathe-kollwitz_not_detected_235973,chinese,fear,['众人围着躺在床上的男人，阴暗的画面给人一种压抑恐惧的感觉。']
16301,Pointillism,maurice-prendergast_the-rider,english,disgust,['this looks like another failed attempt at a paint by numbers']
16302,Realism,corneliu-baba_still-life-1979,english,contentment,"['Its a well rounded breakfast of bread, eggs and an apple.', 'It looks like fulfilling breakfast table']"
16303,Romanticism,gustave-dore_cover,chinese,fear,"['男人手拿火把，冷漠的眼神让人害怕。', '男子眼神空洞，让人害怕。', '灰色衣服的男人深陷的眼睛与背后的羽毛相结合，看起来很吓人。']"
16304,Impressionism,edgar-degas_interior-at-menil-hubert-1892,arabic,contentment,"['غرفه هادئه مكونه من اثاث انيق قديم لكنه مازال له رونقه وجماله', 'اشعة الشمس الذهبيه تتخلل الغرفه من النافذه لتنعكس علي الارض الخشبيه الجميله والمنضده التي يغطيها مقرش ابيض', 'غرفة بها مراية باللون البني و كرسي باللون الابيض منقرش بالاخضر و باب الغرفه باللون الابيض']"
16305,Impressionism,stefan-popescu_harvesting,chinese,contentment,['庄稼看起来大丰收，有一些人正在田间劳作，看起来比较心情，不由让人感到满足。']
16306,Baroque,jan-steen_doctor-s-visit-1,arabic,fear,['يكشف الطبيب علي لسيدة المريضة و اهلها قلقين عليها']
16307,Realism,vasily-polenov_what-people-think-about-me-1,english,excitement,"['They all gather around the man, waiting to hear the wisdom flow from his mouth.', 'I am excited by the draama inherent in this picture of a man addressing three other men.']"
16308,Contemporary_Realism,eric-fischl_the-travel-of-romance-scene-ii,english,excitement,"['the picture shows sexual arousal and excitement', 'beautiful young girl makes me happy.']"
16309,Impressionism,octav-bancila_can-cu-flori-de-c-mp-1930,english,contentment,"['i really like how this picture is so dark and light at the same time', 'The flowers are so joyful since they are the perfect blend of colors', 'The flowers are such bright and comforting shades of red, pink, and yellow']"
16310,Abstract_Expressionism,terry-frost_tree-tree-1989,english,amusement,['it looks like a green necklace']
16311,Abstract_Expressionism,paul-jenkins_not_detected_235691,chinese,fear,"['天空里的怪物混为一体霸占整个天空让人害怕不已', '图中穿红色裙子的女人，像是要被洪水冲跑了一样。']"
16312,Analytical_Cubism,georges-braque_violin-and-pitcher-1910,chinese,disgust,['画面中一个扭曲的吉他和水壶藏在乱石堆中，画面违和，令人不喜。']
16313,Expressionism,kees-van-dongen_modjesko-opera-singer-1908,arabic,disgust,['سيده ترتدي فستان لونه ابيض وعلى راسها قبعه ضمنها ابيض تضع احمر شفاه وتضع يدها على صدرها وتفتح فمها وتغني']
16314,Realism,vasily-sadovnikov_the-mansion-of-countess-z-i-yusupova-1866,english,contentment,['A very detailed painting of a large building with a horse and buggy in front on a golden serene day.']
16315,Impressionism,claude-monet_rouen-cathedral-the-portal-at-midday,chinese,contentment,"['蓝蓝的天空，城堡华贵，令人舒适。', '混乱的色彩画出了一座雄伟的城堡。', '画面中由白色，黄色，蓝色构成一个城堡，画面模糊，给人一种朦胧美。', '像一座高大白色的建筑，上面的花纹看起来是西方国家的特征。']"
16316,Northern_Renaissance,lucas-cranach-the-elder_lucretia-1538,arabic,fear,"['فتاة يبدو على ملتمحها الإنكسار تحمل خنجر وتحاول قتل نفسها', 'الفتاة و هي تجلس عارية و تحمل سكينا و تكاد تقتل نفسها']"
16317,Post_Impressionism,pablo-picasso_seated-monkey-1905,english,contentment,['The look on this animals face looks very content and relaxed while sitting and relaxing!']
16318,Art_Nouveau_Modern,aubrey-beardsley_scarlet_pastorale,chinese,disgust,"['一个人带着墨镜，穿着黑白相间的衣服扭动着看着有些嫌恶', '身材肥胖的男子带着黑色的眼罩，穿着棋盘格的衣服，姿势扭曲，让人厌恶。', '一群穿着奇怪，带着眼罩的人走来走去，看着很恶心']"
16319,Impressionism,rudolf-schweitzer-cumpana_hamali-n-portul-br-ila-1926,english,awe,"['A taut and sinewy rendering of quotidien life in poverty.', 'The men are working and sacrificing for the village and I admire them.', 'Not the most exciting piece but I love the feel of it, the texture, I can feel it.', 'The people gathered around makes me want to go socialize.', 'This painting portrays what looks to me to be the middle east and makes me think about what life is and how interesting it would be.']"
16320,Naive_Art_Primitivism,maria-primachenko_two-headed-chicken-1977,english,awe,['Kind of freaky double head looking thing i like']
16321,Impressionism,childe-hassam_against-the-light,arabic,amusement,"['فتاة تستريح في غرفتها و تجلس علي الكرسي بملابس نوم', 'فتاه ترتدي فستان ابيض عاريه الصدر لها شعر اصفر ملموم تجلس على كرسي به عدد من الاعمده الرفيعه ازرق داكن امامها ستار ابيض به جزء اصفر وجزء اخضر وهي تنظر للامام']"
16322,Impressionism,claude-monet_norman-farm-through-the-trees,chinese,sadness,"['树上的白色花朵慢慢凋谢，花瓣零落成泥，让人觉得伤感。', '图片中一个枯树独自屹立在一片森林里，让人感到很孤独难过。']"
16323,Realism,boris-kustodiev_portrait-of-n-d-milioti-1916,english,amusement,"['This man was bothered to sit there, and too important to sit for long based on the lack of detail outside his face']"
16324,Post_Impressionism,paul-gauguin_cows-on-the-seashore-1886,english,sadness,"[""They feel lost and the colors are confusing and sad with what they're supposed to do with that.""]"
16325,Realism,camille-pissarro_the-road,chinese,awe,['两边的茂盛的松树格外翠绿，映衬着小路十分幽暗，让人感到神秘。']
16326,Romanticism,john-atkinson-grimshaw_park-row-leeds-1882,chinese,contentment,"['一轮圆月高高地挂在天上，街道上面没有一个人，两旁的房屋建造的十分高大，房屋里没有什么灯开着，给人一种安静美好的感觉，让人不由感到满足。', '夜晚的天空中挂着一个圆圆的月亮，房屋里灯火通明，街道上车辆和行人来来往往，画面让人觉得惬意。', '黑暗的天空挂着一轮明月，照亮大地，令人满足']"
16327,Post_Impressionism,georges-seurat_the-cart-or-the-horse-hauler,arabic,awe,"['الحصان يجر عربة البضاعه في المزرعه والطريق مظلم وفارغ', 'دبدوب تلك الكتله المجسمه على انها سفينه تسير في المياه وسط البحار', 'صوره غير ملونه يظهر بها عربة يجرها حمار', 'سراب لحصان ربطت به عربة خشبية في غابة منسية']"
16328,Realism,vasily-polenov_among-the-teachers,chinese,contentment,"['墙面破旧不堪，一群人温馨的围坐成一圈聊天，让人满意。', '人们聚在一起坐在地上聊天，看着很开心。']"
16329,Romanticism,christen-kobke_the-forum-pompeii-with-vesuvius-in-the-distance-1841,arabic,contentment,['مجموعه من الاعمده مصنوعه من الصخور خلفها جبال عاليه والسماء لونها ازرق بها غيوم بسيطه لونها ابيض']
16330,Pop_Art,andy-warhol_brillo-soap-pads-boxes-1964,chinese,disgust,['灰色的背景加上纸盒子令人感到厌恶。']
16331,Art_Nouveau_Modern,aubrey-beardsley_a-nocturne-of-chopin,english,awe,"['The message was really cool. It was metaphorical to me.', 'i love how the woman stands out so brightly against the black background. and how the two other women just kind of blend into it.']"
16332,Romanticism,edwin-henry-landseer_scene-in-the-olden-time-at-bolton-abbey,english,awe,['Shows that in that time people depended on killing of animals for food and it was accepted by all including blessing from the church.']
16333,Realism,john-singer-sargent_a-backwater-at-calcot-near-reading-1888,arabic,contentment,['المكان به البحيره الجميله  التي تعكس ضوء النهار والاشجار الخضراء الزاهيه']
16334,Impressionism,claude-monet_charing-cross-bridge-03,chinese,contentment,"['金黄的阳光将波光粼粼的江面照耀的金灿灿的，一座坚固的桥梁横跨着，不禁令人感到满足。', '湖边上被阳光照耀的美得像画，撑船驶过，让人觉得满足美好。', '天空十分晴朗，海面平静，小船自由自在地飘着，让人感到十分悠闲自在。']"
16335,Post_Impressionism,pyotr-konchalovsky_natalia-petrovna-with-katya-at-the-piano-1935,arabic,amusement,"['امرأة تجلس على الكرسي و يوجد أمامها البيانو و تقوم بعزف الموسيقى و يوجد على جانبها طفل صغير', 'تجلس سيدة تعزف البيانو و معها طفلها مستمعاً لها و مستمتعاً', 'سيدة تلعب علي البيانو وبجوارها ابنها ذو الملابس الحمراء ويستمتعان بوقتهم', 'الأم تعزف علي البيانو وبجوارها طفلتها الصغيرة وتنظر إليها نظرة حنان']"
16336,Impressionism,adolf-hitler_ruins-with-arches,arabic,contentment,"['نهر به قوارب وحوله أشجار وخضرة تطل علي مباني عالية وكأنها قلعة في جو هادئ', 'لوحه فنيه مرسومه لقصر فخم حولة حديقه اشجار خضراء والصوره قديمه ولكن المنظر رائع', 'بيوت على ضفاف نهر وبجوارها جبال  وهناك طيور تحلق فى السماء ومراكب تسير فى البحر']"
16337,Symbolism,nicholas-roerich_sissu-lahaul-1932,arabic,excitement,"['قمه من قمم الجبال العاليه توضح عليها قلعه كبيره رائعه', 'السماء تدل علي الفرحة والبهجة والتفائل والحماس الراحة النفسية']"
16338,Impressionism,ipolit-strambu_in-the-garden-1930,chinese,sadness,['图中一家人围坐在桌子旁吃着早餐，老奶奶木讷的坐在那里，没有人关心她，令人感觉有些凄凉。']
16339,Expressionism,pablo-picasso_the-luncheon-on-the-grass-1961,arabic,contentment,['تحفه فنيه رائعه مع تباين جسم امراه عاريه مع رجل مرسوم بشكل جميل']
16340,Impressionism,pierre-auguste-renoir_sugar-bowl-1909,english,contentment,"[""the color of the steel on the kettle matches it's background""]"
16341,Post_Impressionism,victor-borisov-musatov_bluebells-1903,arabic,amusement,['الزهور الوردية الجميلة التي يصنع منها العطور']
16342,Symbolism,nicholas-roerich_himalayas-1943-1,chinese,awe,['近处的蓝色山脉和远处的白色群山相对应，让人感到惊叹。']
16343,Romanticism,william-turner_the-thames-near-walton-bridges,chinese,contentment,['白云密布天下，湖水边都是茂盛的树木，给人生机感。']
16344,Art_Nouveau_Modern,raphael-kirchner_mayflyes-1904,english,amusement,"['whimsical dancing of ladies bring feeling of joy', 'whimsical and flowing images. Gleeful almost mermaid-like flowing costumes. Happy, happy joy joy!']"
16345,Color_Field_Painting,sam-gilliam_rhinoceros-3-2004,english,disgust,"[""The style here is not very good from my [point of view because it's just geometric shapes.""]"
16346,Realism,boris-kustodiev_portrait-of-maria-ryazantseva-1922,arabic,contentment,['تنام الفتاة علي الأريكة و تبتسم إبتسامة رائعة']
16347,Romanticism,francesco-hayez_venetian-women-1853,chinese,contentment,"['戴着头巾穿着裙子的女子在和男子聊天，看着很悠闲。', '傲娇的表情和美丽的衣服让人满意。']"
16348,Impressionism,edmund-charles-tarbell_my-wife-emeline-in-a-garden,chinese,contentment,"['茂盛的树木下，女人穿着一身洁白的连衣裙站在草坪上，看上去感觉十分美丽', '女人带着白帽子，穿着白色的长裙，低着头，微笑着，让人觉得美好。', '画面中女人身穿着白色的长裙，纤细的腰身让人觉得很漂亮。', '一个女子穿着漂亮的白色裙子坐着树下，还戴了一顶比较大的白色帽子，让人不由感到满意。', '大树下有一个穿着白色裙子的女人，看着很漂亮。', '树木旁戴着帽子穿着白色裙子的女子，看着很漂亮。', '一个穿着白色长裙戴着帽子的女子站在树下，看着很美丽。']"
16349,Baroque,peter-paul-rubens_the-council-of-the-gods-1624,arabic,amusement,['تجمعالعديد من الناس جالسين على الأرض وواقفين سويا']
16350,Impressionism,camille-pissarro_portrait-of-felix-pissarro-1881,english,amusement,"['The brush strokes in the girls hair and purple sweater, make this painting lovely.', 'This girl is hiding something from her parents. Perhaps she broke a vase?', 'The picture has vibrant colors and the little girl looks like she has an attitude. Cute']"
16351,Romanticism,william-turner_weymouth,chinese,contentment,"['画面中蓝色的水面与黄色的土地相结合，让人觉得很有意境。', '碧蓝的天空下有蓝蓝的湖水、黄色的沙滩很是漂亮。', '人们出海打渔归来，在沙滩上捡着鱼，让人感受到了丰收的喜悦。', '晴朗的天空，蓝色的大海一望无边，远行的帆船满载而归，人们兴高采烈的清点食物，让人感受到丰收的喜悦。', '大海边居民过着悠闲自在的生活。']"
16352,Early_Renaissance,jacopo-bellini_unknown,english,disgust,['the way it looks like everyone is chanting that person in gives me a feeling of disgust']
16353,Romanticism,gustave-dore_don-quixote-129,arabic,awe,"['لوحة باللونين الابيض والأسود لرجلين احدهم يرتدى درع على جسده بالكامل ويجلس تحت شجرة ويتكئ عليها والاخر يجلس بجوارة ويرتدى قبعة وهناك أحصنة فى اللوحة', 'رجلين يبدو انهما جالسين في غابة احدهما يبدو انه محارب يرتدي بدلة معدنية وبجانبهم احصنتهم']"
16354,Symbolism,georges-lacombeâ _existence-wooden-bed-panel,chinese,amusement,"['一个浮雕的面目滑稽，让人好笑。', '蜿蜒的曲线勾勒出一张呲牙咧嘴的脸，两只眼睛看向上方，蜷缩在一起的样子给人一种滑稽的感觉。']"
16355,Realism,konstantin-makovsky_portrait-of-the-wrighter-d-grigorovich,english,contentment,"['The man seems content, confident, and neat in his appearance.', ""The man's expression makes him look like he is pleased with life""]"
16356,Northern_Renaissance,lucas-cranach-the-elder_lucretia-1538,chinese,contentment,['一个赤身裸体戴着项链的女子，看着非常美丽。']
16357,Impressionism,pierre-auguste-renoir_gabrielle-with-a-rose-1911,english,sadness,['The woman holds flowers and looks downward with a pensive expression.']
16358,Rococo,giovanni-domenico-tiepolo_jesus-and-the-children,arabic,contentment,['صورة جميلة لانها تدل علي انتماء الاسرة وحبها لبعضها']
16359,Northern_Renaissance,jan-van-hemessen_parable-of-the-prodigal-son-4,arabic,amusement,"['رجل ما ينظر لهذه الإمرأة كأنه يتعجب من جمالها و أنوثتها الجذابة يبدو عليه أنه يعشقها كروحه', 'تنظر الفتاة ذات الشعر الذهبي إلي حبيبها بحب و إعجاب']"
16360,Romanticism,vasily-polenov_old-gates-normandy-1874,chinese,amusement,['一黑一白的马儿依偎在一起好似在谈情说爱，令人感到很搞笑。']
16361,Naive_Art_Primitivism,grandma-moses_the-quilting-bee,arabic,amusement,['مائده طعام كبيره مجموعه من الناس كل منهم منشغل بعمل معين']
16362,Romanticism,jan-matejko_akt-meski,english,amusement,"[""The man's upright stiff posturing gazing away with his arm strongly against a hard wood chair"", 'The man in the painting is very funny in his pseudo-confidence / nakedness.']"
16363,Post_Impressionism,vincent-van-gogh_selfportrait-on-the-road-to-tarascon-the-painter-on-his-way-to-work-1888,chinese,contentment,"['蓝色衣服的人带着黄色的帽子令人满意。', '树木旁戴着帽子的男子，看着很悠闲。', '穿着蓝色衣服戴着帽子的男子，看着很勤劳。', '一个男人在路边行走，看着很舒服。']"
16364,Mannerism_Late_Renaissance,parmigianino_helmet-with-eagle,arabic,awe,"['تباين  درجات اللون الرمادى ومزجها باللون الأبيض لإظهار تفاصيل الملك والتاج الذى يرتديه', 'الزخارف في الخوذه جميله ومدهشه وتجذب العين بسرعه وواضحه']"
16365,Romanticism,konstantin-makovsky_tamara-and-demon,english,sadness,['This looks like death taking a young girl when she is at weakest and most vulnerable']
16366,Baroque,ivan-nikitin_crown-princess-elizabeth-the-future-empress-1741,english,excitement,"[""The woman's vivacious spirit shines through in this realistic portrait requiring tremendous skill.""]"
16367,Expressionism,georges-braque_my-bicycle-1941,arabic,awe,['مفتاح ونباتات خضراء وكأنها نباتات زينة لا أعرف ما هذه اللوحة تبدو غريبة وغير مفهومة وغير واضحة بالمرة وهناك مفتاح']
16368,Realism,vasily-polenov_early-snow-behovo-1891,chinese,sadness,['画面中荒凉的土地让人感到悲伤。']
16369,Realism,boris-kustodiev_arable-1917,chinese,contentment,"['广袤的草地，茂盛的树林，一个人牵着马行走在路上，画面看上去让人十分满足。', '高高的从柏树下面有一个人牵着马儿正在走着，让人感觉到生活的美好。', '下午时分，农夫在绿油油的田野里辛勤劳作。', '一望无际的草原加上远处整洁的房子，让人感觉心旷神怡。', '绿草如茵的草地上，有牵着马散步的人，色调明亮，画面看起来很温馨祥和']"
16370,Baroque,rembrandt_view-of-amstel-river-in-amsterdam-1641,chinese,sadness,"['在这荒凉的土地上，那个黑色的身影，显得有些孤独。', '一人一车和简笔勾画的房屋给了人一种萧瑟的感觉，令人伤感。', '人物一人在平地上拉着东西 很孤独', '年迈的人背井离乡，让人觉得有些难过伤感。', '苍茫的天与地成为一色，远处的房屋若隐若现，农民伯伯艰难的推着篱笆车，让人感受到他的孤独与寂寞。']"
16371,Impressionism,eugene-boudin_sailboats-at-dock-barre-basin,english,awe,"['The cloudy white sky and darkness on the boats and water feels like it late in day and the sun has set.', 'The water looks still however cracks appear to looming in the sky']"
16372,Realism,arkhip-kuindzhi_view-of-the-moskvoretsky-bridge-the-kremlin-and-the-pokrovsky-cathedral-1882,arabic,amusement,['تبدو المدينه عريقه واثريه ولكن لايوجد بها سكان']
16373,Naive_Art_Primitivism,marc-chagall_moses-spreads-the-darkness-over-egypt-1931,arabic,contentment,['رجل يرفع عصا وبجانبه رجل فى وضغع استجداء وملاك يحلق']
16374,Ukiyo_e,katsushika-hokusai_cranes-from-quick-lessons-in-simplified-drawing,english,excitement,"[""Wow! Really cool. Haven't seen something like this done, how the animals weave all together up and down. Love it.""]"
16375,Naive_Art_Primitivism,fernando-botero_the-family-of-the-president,chinese,amusement,"['图中圆润的人物形象和呆萌的眼神让人感到好笑', '画中四五个十分肥胖的男士女士给人带来一副十分有意思且好玩的画风']"
16376,Naive_Art_Primitivism,niko-pirosmani_the-white-bear-with-cubs-1916,english,fear,['I feel like ive just walked up onto a mother and her cubs and that she may attack me.']
16377,Minimalism,agnes-martin_red-bird-1964,chinese,disgust,"['画面中的颜色搭配看起来非常的单调，画面中的线条看起来像一幅没画完的作品', '一张空白的白纸中间淡淡粉色，什么都没有欣赏不来。']"
16378,Early_Renaissance,giovanni-bellini_dead-christ-supported-by-the-madonna-and-st-john-1460,arabic,sadness,"['ثلاث اشحاص يمسكان بشخص مصاب في يديه و يمسكه رجل وامرأة و يقطر الدم من يد الشخص المصاب', 'قطعة مأساوية حزينة  كل شخص يبدو نصف فاسد ومتحلل في اللوحة', 'امرأة عجوز ترتدي ملابس بسيطة جدا وتنظر لشاب بحزن وهو مريض', 'يبدو عليه التعب الشديد وهم بجانبه يساندونه ويطلوبن المساعده من احدرهم']"
16379,Art_Nouveau_Modern,nicholas-roerich_shchegolikha-1912-1,chinese,contentment,['女孩的头发扎成很多股麻花辫，蹦蹦跳跳的，让人觉得活泼可爱。']
16380,Post_Impressionism,bela-czobel_reclining-woman-1922,english,sadness,['The woman looks upset about something.']
16381,Abstract_Expressionism,joan-snyder_mamilla-immortalis-2004,chinese,disgust,['画面中红色和紫色块状胡乱点在上面，还有许多大写字母凌乱排列，看着很丑，让人厌恶。']
16382,High_Renaissance,lorenzo-lotto_portrait-of-a-gentleman-with-a-rosary,chinese,sadness,['男人出神的双眼让人感到悲伤。']
16383,Contemporary_Realism,chuck-close_self-portrait-2007,chinese,awe,"['整幅图是用无数个小的正方形图案拼凑而成的，利用不同颜色不同图案，让人不由得惊叹。', '图案拼出的智慧男士，画面充满了科技感，让人惊叹。']"
16384,Realism,thomas-eakins_portrait-of-mary-adeline-williams-1899,arabic,sadness,['سيده كبيره في السن ترتدي فستان اسود وبيبون دهبي يبدو عليها علامات الحزن']
16385,Northern_Renaissance,jean-fouquet_death-of-william-longsword-1460,english,contentment,"['The thick, spiky grasses protect the castle from intruders']"
16386,Northern_Renaissance,albrecht-durer_the-tuft-of-grass-minor,english,awe,['the parts of the plant is very realistic']
16387,Impressionism,gregoire-boonzaier_portrait-of-a-man-1989,chinese,disgust,['男子戴着白色的头巾长相难看，高高的颧骨让人感到厌恶。']
16388,Realism,vasily-tropinin_portrait-of-countess-n-a-zubova-1834,arabic,contentment,"['إمرأة بشوشة ترتدى ملابس من الفرو وقبعتها تحمل اللون الاحمر والابيض وأيضا مصنوعة من الفىو', 'سيدة جميلة ترتدي فستان أسود ينعكس على بشرتها البيضاء ،وقبعة كبيرة بشكل غريب ،ولها ملامح بريئة لقد شعرت بالرضا عندما نظرت إليها.', 'تردي المرأة قبعة حمراء اللون مثل لون الدماء', 'تجلس المرأة في هدوء مع ابتسامه خفيفه بأزياء يظهر عليها الثراء']"
16389,Realism,vasily-vereshchagin_in-the-park,chinese,disgust,['画面太过模糊，让画中的一切事物都快融杂一起分不清，让人嫌恶']
16390,Expressionism,paula-modersohn-becker_portrait-of-a-woman-with-pitcher,chinese,awe,['女人抱着瓶子，面露微笑，让人感到放松。']
16391,Realism,boris-kustodiev_e-zamyatin-the-district-1923,arabic,awe,['ذلك الرجل لا يرتكب على عكازه الصغير امام منزله ليقوم بحمايته']
16392,Post_Impressionism,pierre-bonnard_trouville-the-exit-to-the-port,chinese,contentment,"['天色已经暗下来了，周围有很多的房屋，中间的河流缓慢地流淌着，人们悠闲地走在道路上，给人一种舒适美好的感觉，让人不由感到满足。', '秋天到了，整个城市看起来金灿灿的。']"
16393,Baroque,francisco-de-zurbaran_the-death-of-st-bonaventura-1629,chinese,sadness,"['去世的主教依然虔诚的手握十字架，一群人在为去世的主教悲伤祈祷，令人难过', '哪怕周围环境在嘈杂，也叫不醒已经逝去的人。', '男人穿着白色的袍子躺在床上，闭着眼睛，周围的人在激烈的讨论着，给人一种悲伤的感觉。', '一个身穿白色衣服的人静静躺在上面一动不动很可怜。']"
16394,Post_Impressionism,constantin-piliuta_irises,english,awe,"['i like looking at this even more than i would like looking at the real flowers', 'Remind me of my daughter. Her favorite color is purple and the flowers look like butterflies, which she loves']"
16395,Realism,ivan-vladimirov_crimea-the-cliffs-1940,english,awe,['The ocean cliffsides look very beautiful with the ocean wave crashing against them.']
16396,Early_Renaissance,antonello-da-messina_the-dead-christ-supported-by-an-angel-1478(1),chinese,awe,['受了伤的男士满脸痛苦，他的身后一位小天使满脸悲痛的拥抱着他，令人惊叹。']
16397,Post_Impressionism,kazimir-malevich_portrait-of-woman-in-yellow-hat-1930,english,disgust,"[""Why is she flat white? This looks like a child's painting. pretty messy and flat""]"
16398,Mannerism_Late_Renaissance,giuseppe-arcimboldo_the-vegetable-bowl(1),arabic,awe,['بعض الخضروات مختلفة الالوان و الاشكال منها البصل و الجزر و الخضراوات المختلفة']
16399,Fauvism,august-macke_children-at-the-grocery-store,english,amusement,['a very good abstract art and easy to understand some portion']
16400,Symbolism,nicholas-roerich_gompa-1932,arabic,contentment,"['المدينه هادئه السماء بلونها الزهري الرائع كما في وقت الغروب', 'سماء ملبدة بالسحب التي تعلو قرية صغيرة بها مباني قليلة']"
16401,Post_Impressionism,irma-stern_congolese-beauty-1946,chinese,awe,"['黑皮肤的女人头顶戴着红色的丝巾，让人惊叹。', '一位穿着豹纹围着红色头巾的姑娘看着前方，眼神十分不屑']"
16402,Realism,john-singer-sargent_the-tramp,arabic,awe,"['الرجل يجلس بهدوء استرخاء وتعبيرات وجه بسيطه', 'صوره مرسومه لرجل شارد يشعر بالذهول من الواقع']"
16403,Impressionism,edgar-degas_head-of-a-young-roman-girl-1856,chinese,sadness,['女孩看上去有些年纪了，其实她才刚刚成年，每天辛苦的劳累让她看上去显老，这让人有些难受。']
16404,New_Realism,william-james-glackens_chez-mouquin-1905,chinese,contentment,"['穿蓝裙子的女人身边坐着穿西装的男人，两人脸上十分幸福。', '女人头戴大大的羽毛帽子，身穿华丽的礼服，男人身穿礼服，两人在餐厅里依然的品着酒，给人一种很惬意的氛围感。', '穿着蓝色衣裙的女子眼神温柔，令人感到喜悦满足。', '一位穿着蓝色衣服的女人和一位穿着黑色衣服的男人，画面让人感到开心。', '一个穿着蓝色裙子的女人和一个穿着西装的男子坐在桌子前喝酒，画面美好让人觉得很满足']"
16405,Naive_Art_Primitivism,fernand-leger_acrobats-and-clowns-1950,arabic,awe,['الأشخاص في الصورة يتراقصون بشكل مذهل للغاية يبدو أنهم فرحون']
16406,Impressionism,pierre-auguste-renoir_young-girl-seated-in-a-meadow-1916,arabic,sadness,"['تناغم الالوان واضح رغم تداخلها يعطي شعور باللخبطه والفوضي العارمه ودليل علي كثره الافكار داخل رأسها', 'فتاه تجلس علي العشب لوحدها و تنظر الي اسفل و يبدو انها حزينه و يوجد حولها اشجار و مناظر خضراء']"
